Ticker,Mkt Cap
PG,1375434370.2301025
PGR,360489217.40875244
PH,202009927.90374756
PHM,102958357.80944824
PKG,97517216.55578613
PKI,54642991.540527344
PLD,722940222.8691101
PM,618316319.0002441
PNC,420311393.3029175
PNR,44085591.7427063
PNW,120595722.77526855
POOL,60488006.869506836
PPG,203564896.25091553
PPL,178036162.09278107
PRU,192356307.31201172
PSA,302187171.2097168
PSX,290005089.6484375
PTC,56522958.78601074
PVH,130123607.59124756
PWR,69584884.21096802
PXD,324083974.2553711
PYPL,1153116176.1016846
QCOM,1051951239.1677856
QRVO,195890271.43859863
RCL,1859821120.4467773
RE,65974399.29199219
REG,111812086.4868164
REGN,519012950.2319336
RF,170244226.24425888
RHI,68187647.84545898
RJF,107840678.92169952
RL,79504153.05862427
RMD,146862612.90893555
ROK,199132977.37731934
ROL,55225577.79378891
ROP,188770517.3828125
ROST,235018091.0560608
RSG,131620624.86801147
RTX,1500200248.2017517
SBAC,415989617.8222656
SBNY,98229274.65057373
SBUX,1387947821.0151672
SCHW,436676368.53637695
SEDG,98031615.38085938
SEE,66681723.23741913
SHW,513025896.45080566
SIVB,147772103.9428711
SJM,123968671.82159424
SLB,395251177.6280403
SNA,82163713.96636963
SNPS,150838954.0222168
SO,409786913.8069153
SPG,546806158.3511353
SPGI,761352348.7243652
SRE,261810886.99951172
STE,100303728.72161865
STT,158451137.11776733
STX,154177809.3032837
STZ,376135889.5385742
SWK,328360949.1119385
SWKS,242561379.0588379
SYF,224189923.853302
SYK,458528842.326355
SYY,299559869.38323975
T,1269701141.9691124
TAP,95622755.75866699
TDG,410052177.24609375
TDY,87751395.59326172
TECH,38919198.01940918
TEL,206613624.9130249
TER,162663317.893219
TFC,317450402.7183533
TFX,104162089.0625
TGT,705843375.1647949
TJX,527006037.55874634
TMO,772387272.4822998
TMUS,495720318.8056946
TPR,111500584.30624008
TRMB,43826226.835632324
TROW,172327164.2578125
TRV,176173947.52960205
TSCO,169486445.37353516
TSLA,7821450156.211853
TSN,164533058.11309814
TT,113240895.88623047
TTWO,232830002.97546387
TWTR,617415974.1775513
TXN,595619937.562561
TXT,64663342.34008789
TYL,91163475.14648438
UAL,1704732750.0
UDR,114889035.28213501
UHS,80207032.01446533
ULTA,297686089.7186279
UNH,1258835358.7051392
UNP,641287640.5181885
UPS,515581079.6813965
URI,280896906.61239624
USB,354898678.54270935
V,2090575804.4250488
VFC,182039023.859787
VICI,75525700.29602051
VLO,337749179.5196533
VMC,305968161.6142273
VNO,111491611.17858887
VRSK,157393964.50195312
VRSN,141268440.2770996
VRTX,614404155.5206299
VTR,296019755.5513382
VZ,1020613701.8451691
WAB,85619224.5677948
WAT,118694389.56298828
WBA,281485627.27508545
WDC,292635785.0440979
WEC,203730890.73486328
WELL,406682091.73431396
WFC,1954675740.447998
WHR,118998871.7124939
WM,341730334.0408325
WMB,299475114.108181
WMT,1280900791.8403625
WRB,38382905.67626953
WRK,109044953.7059784
WST,61627115.97290039
WY,143370294.84176636
WYNN,777736411.7973328
XEL,269207411.3983154
XOM,2224328711.36322
XRAY,151889887.41111755
XYL,90859927.36816406
YUM,322451562.79296875
ZBH,223515175.07418823
ZBRA,106505746.64611816
ZION,156774132.35378265
ZTS,248897016.947937
